"Participant","Condition","Condition_name","SOA","Repetitions","Count","Relative"
0,0,"probe 0 deg orientation contrast (neutral)",-100,15,15,1
0,0,"probe 0 deg orientation contrast (neutral)",-50,15,15,1
0,0,"probe 0 deg orientation contrast (neutral)",0,30,13,0.433333333333333
0,0,"probe 0 deg orientation contrast (neutral)",50,15,0,0
0,0,"probe 0 deg orientation contrast (neutral)",100,15,1,0.0666666666666667
0,1,"probe 30 deg orientation contrast",-100,30,30,1
0,1,"probe 30 deg orientation contrast",-50,30,27,0.9
0,1,"probe 30 deg orientation contrast",0,60,32,0.533333333333333
0,1,"probe 30 deg orientation contrast",50,30,3,0.1
0,1,"probe 30 deg orientation contrast",100,30,0,0
0,2,"probe 60 deg orientation contrast",-100,30,30,1
0,2,"probe 60 deg orientation contrast",-50,30,26,0.866666666666667
0,2,"probe 60 deg orientation contrast",0,60,31,0.516666666666667
0,2,"probe 60 deg orientation contrast",50,30,1,0.0333333333333333
0,2,"probe 60 deg orientation contrast",100,30,1,0.0333333333333333
0,3,"probe 90 deg orientation contrast",-100,30,29,0.966666666666667
0,3,"probe 90 deg orientation contrast",-50,30,29,0.966666666666667
0,3,"probe 90 deg orientation contrast",0,60,40,0.666666666666667
0,3,"probe 90 deg orientation contrast",50,30,3,0.1
0,3,"probe 90 deg orientation contrast",100,30,2,0.0666666666666667
1,0,"probe 0 deg orientation contrast (neutral)",-100,15,14,0.933333333333333
1,0,"probe 0 deg orientation contrast (neutral)",-50,15,14,0.933333333333333
1,0,"probe 0 deg orientation contrast (neutral)",0,30,20,0.666666666666667
1,0,"probe 0 deg orientation contrast (neutral)",50,15,0,0
1,0,"probe 0 deg orientation contrast (neutral)",100,15,0,0
1,1,"probe 30 deg orientation contrast",-100,30,30,1
1,1,"probe 30 deg orientation contrast",-50,30,27,0.9
1,1,"probe 30 deg orientation contrast",0,60,30,0.5
1,1,"probe 30 deg orientation contrast",50,30,6,0.2
1,1,"probe 30 deg orientation contrast",100,30,1,0.0333333333333333
1,2,"probe 60 deg orientation contrast",-100,30,30,1
1,2,"probe 60 deg orientation contrast",-50,30,26,0.866666666666667
1,2,"probe 60 deg orientation contrast",0,60,31,0.516666666666667
1,2,"probe 60 deg orientation contrast",50,30,3,0.1
1,2,"probe 60 deg orientation contrast",100,30,0,0
1,3,"probe 90 deg orientation contrast",-100,30,30,1
1,3,"probe 90 deg orientation contrast",-50,30,27,0.9
1,3,"probe 90 deg orientation contrast",0,60,32,0.533333333333333
1,3,"probe 90 deg orientation contrast",50,30,1,0.0333333333333333
1,3,"probe 90 deg orientation contrast",100,30,1,0.0333333333333333
2,0,"probe 0 deg orientation contrast (neutral)",-100,15,12,0.8
2,0,"probe 0 deg orientation contrast (neutral)",-50,15,11,0.733333333333333
2,0,"probe 0 deg orientation contrast (neutral)",0,30,17,0.566666666666667
2,0,"probe 0 deg orientation contrast (neutral)",50,15,5,0.333333333333333
2,0,"probe 0 deg orientation contrast (neutral)",100,15,0,0
2,1,"probe 30 deg orientation contrast",-100,30,23,0.766666666666667
2,1,"probe 30 deg orientation contrast",-50,30,23,0.766666666666667
2,1,"probe 30 deg orientation contrast",0,60,26,0.433333333333333
2,1,"probe 30 deg orientation contrast",50,30,5,0.166666666666667
2,1,"probe 30 deg orientation contrast",100,30,4,0.133333333333333
2,2,"probe 60 deg orientation contrast",-100,30,24,0.8
2,2,"probe 60 deg orientation contrast",-50,30,23,0.766666666666667
2,2,"probe 60 deg orientation contrast",0,60,31,0.516666666666667
2,2,"probe 60 deg orientation contrast",50,30,5,0.166666666666667
2,2,"probe 60 deg orientation contrast",100,30,1,0.0333333333333333
2,3,"probe 90 deg orientation contrast",-100,30,27,0.9
2,3,"probe 90 deg orientation contrast",-50,30,24,0.8
2,3,"probe 90 deg orientation contrast",0,60,35,0.583333333333333
2,3,"probe 90 deg orientation contrast",50,30,5,0.166666666666667
2,3,"probe 90 deg orientation contrast",100,30,0,0
3,0,"probe 0 deg orientation contrast (neutral)",-100,15,15,1
3,0,"probe 0 deg orientation contrast (neutral)",-50,15,10,0.666666666666667
3,0,"probe 0 deg orientation contrast (neutral)",0,30,18,0.6
3,0,"probe 0 deg orientation contrast (neutral)",50,15,2,0.133333333333333
3,0,"probe 0 deg orientation contrast (neutral)",100,15,1,0.0666666666666667
3,1,"probe 30 deg orientation contrast",-100,30,30,1
3,1,"probe 30 deg orientation contrast",-50,30,28,0.933333333333333
3,1,"probe 30 deg orientation contrast",0,60,38,0.633333333333333
3,1,"probe 30 deg orientation contrast",50,30,6,0.2
3,1,"probe 30 deg orientation contrast",100,30,3,0.1
3,2,"probe 60 deg orientation contrast",-100,30,30,1
3,2,"probe 60 deg orientation contrast",-50,30,29,0.966666666666667
3,2,"probe 60 deg orientation contrast",0,60,39,0.65
3,2,"probe 60 deg orientation contrast",50,30,6,0.2
3,2,"probe 60 deg orientation contrast",100,30,1,0.0333333333333333
3,3,"probe 90 deg orientation contrast",-100,30,30,1
3,3,"probe 90 deg orientation contrast",-50,30,26,0.866666666666667
3,3,"probe 90 deg orientation contrast",0,60,39,0.65
3,3,"probe 90 deg orientation contrast",50,30,9,0.3
3,3,"probe 90 deg orientation contrast",100,30,2,0.0666666666666667
4,0,"probe 0 deg orientation contrast (neutral)",-100,15,14,0.933333333333333
4,0,"probe 0 deg orientation contrast (neutral)",-50,15,14,0.933333333333333
4,0,"probe 0 deg orientation contrast (neutral)",0,30,15,0.5
4,0,"probe 0 deg orientation contrast (neutral)",50,15,4,0.266666666666667
4,0,"probe 0 deg orientation contrast (neutral)",100,15,0,0
4,1,"probe 30 deg orientation contrast",-100,30,28,0.933333333333333
4,1,"probe 30 deg orientation contrast",-50,30,27,0.9
4,1,"probe 30 deg orientation contrast",0,60,43,0.716666666666667
4,1,"probe 30 deg orientation contrast",50,30,6,0.2
4,1,"probe 30 deg orientation contrast",100,30,2,0.0666666666666667
4,2,"probe 60 deg orientation contrast",-100,30,30,1
4,2,"probe 60 deg orientation contrast",-50,30,28,0.933333333333333
4,2,"probe 60 deg orientation contrast",0,60,42,0.7
4,2,"probe 60 deg orientation contrast",50,30,7,0.233333333333333
4,2,"probe 60 deg orientation contrast",100,30,1,0.0333333333333333
4,3,"probe 90 deg orientation contrast",-100,30,29,0.966666666666667
4,3,"probe 90 deg orientation contrast",-50,30,29,0.966666666666667
4,3,"probe 90 deg orientation contrast",0,60,36,0.6
4,3,"probe 90 deg orientation contrast",50,30,7,0.233333333333333
4,3,"probe 90 deg orientation contrast",100,30,3,0.1
5,0,"probe 0 deg orientation contrast (neutral)",-100,15,15,1
5,0,"probe 0 deg orientation contrast (neutral)",-50,15,14,0.933333333333333
5,0,"probe 0 deg orientation contrast (neutral)",0,30,16,0.533333333333333
5,0,"probe 0 deg orientation contrast (neutral)",50,15,1,0.0666666666666667
5,0,"probe 0 deg orientation contrast (neutral)",100,15,0,0
5,1,"probe 30 deg orientation contrast",-100,30,30,1
5,1,"probe 30 deg orientation contrast",-50,30,26,0.866666666666667
5,1,"probe 30 deg orientation contrast",0,60,39,0.65
5,1,"probe 30 deg orientation contrast",50,30,4,0.133333333333333
5,1,"probe 30 deg orientation contrast",100,30,0,0
