Participant,Condition,Condition_name,SOA,Repetitions,Count,Relative
0,0,interval betweeen display onset and TOJ: 50 ms,-80.0,34,34.0,1.0
0,0,interval betweeen display onset and TOJ: 50 ms,-40.0,34,32.0,0.9411764705882352
0,0,interval betweeen display onset and TOJ: 50 ms,0.0,68,38.0,0.5588235294117647
0,0,interval betweeen display onset and TOJ: 50 ms,40.0,34,20.0,0.5882352941176471
0,1,interval betweeen display onset and TOJ: 100 ms,-80.0,34,34.0,1.0
0,1,interval betweeen display onset and TOJ: 100 ms,-40.0,34,34.0,1.0
0,1,interval betweeen display onset and TOJ: 100 ms,0.0,68,41.0,0.6029411764705882
0,1,interval betweeen display onset and TOJ: 100 ms,40.0,34,4.0,0.1176470588235294
0,1,interval betweeen display onset and TOJ: 100 ms,80.0,34,3.0,0.08823529411764706
0,2,interval betweeen display onset and TOJ: 200 ms,-80.0,34,34.0,1.0
0,2,interval betweeen display onset and TOJ: 200 ms,-40.0,34,33.0,0.9705882352941176
0,2,interval betweeen display onset and TOJ: 200 ms,0.0,68,41.0,0.6029411764705882
0,2,interval betweeen display onset and TOJ: 200 ms,40.0,34,1.0,0.029411764705882356
0,2,interval betweeen display onset and TOJ: 200 ms,80.0,34,0.0,0.0
0,3,interval betweeen display onset and TOJ: 400 ms,-80.0,34,34.0,1.0
0,3,interval betweeen display onset and TOJ: 400 ms,-40.0,34,33.0,0.9705882352941176
0,3,interval betweeen display onset and TOJ: 400 ms,0.0,68,37.0,0.5441176470588235
0,3,interval betweeen display onset and TOJ: 400 ms,40.0,34,1.0,0.029411764705882356
0,3,interval betweeen display onset and TOJ: 400 ms,80.0,34,2.0,0.05882352941176471
0,4,interval betweeen display onset and TOJ: 800 ms,-80.0,34,33.0,0.9705882352941176
0,4,interval betweeen display onset and TOJ: 800 ms,-40.0,34,34.0,1.0
0,4,interval betweeen display onset and TOJ: 800 ms,0.0,68,34.0,0.5
0,4,interval betweeen display onset and TOJ: 800 ms,40.0,34,0.0,0.0
0,4,interval betweeen display onset and TOJ: 800 ms,80.0,34,0.0,0.0
1,0,interval betweeen display onset and TOJ: 50 ms,-80.0,34,27.0,0.7941176470588235
1,0,interval betweeen display onset and TOJ: 50 ms,-40.0,34,20.0,0.5882352941176471
1,0,interval betweeen display onset and TOJ: 50 ms,0.0,68,29.0,0.4264705882352941
1,0,interval betweeen display onset and TOJ: 50 ms,40.0,34,20.0,0.5882352941176471
1,1,interval betweeen display onset and TOJ: 100 ms,-80.0,34,30.0,0.8823529411764706
1,1,interval betweeen display onset and TOJ: 100 ms,-40.0,34,26.0,0.7647058823529411
1,1,interval betweeen display onset and TOJ: 100 ms,0.0,68,29.0,0.4264705882352941
1,1,interval betweeen display onset and TOJ: 100 ms,40.0,34,12.0,0.35294117647058826
1,1,interval betweeen display onset and TOJ: 100 ms,80.0,34,12.0,0.35294117647058826
1,2,interval betweeen display onset and TOJ: 200 ms,-80.0,34,23.0,0.6764705882352942
1,2,interval betweeen display onset and TOJ: 200 ms,-40.0,34,23.0,0.6764705882352942
1,2,interval betweeen display onset and TOJ: 200 ms,0.0,68,32.0,0.4705882352941176
1,2,interval betweeen display onset and TOJ: 200 ms,40.0,34,6.0,0.17647058823529413
1,2,interval betweeen display onset and TOJ: 200 ms,80.0,34,5.0,0.14705882352941174
1,3,interval betweeen display onset and TOJ: 400 ms,-80.0,34,32.0,0.9411764705882352
1,3,interval betweeen display onset and TOJ: 400 ms,-40.0,34,26.0,0.7647058823529411
1,3,interval betweeen display onset and TOJ: 400 ms,0.0,68,28.0,0.4117647058823529
1,3,interval betweeen display onset and TOJ: 400 ms,40.0,34,6.0,0.17647058823529413
1,3,interval betweeen display onset and TOJ: 400 ms,80.0,34,4.0,0.1176470588235294
1,4,interval betweeen display onset and TOJ: 800 ms,-80.0,34,29.0,0.8529411764705882
1,4,interval betweeen display onset and TOJ: 800 ms,-40.0,34,33.0,0.9705882352941176
1,4,interval betweeen display onset and TOJ: 800 ms,0.0,68,31.0,0.4558823529411765
1,4,interval betweeen display onset and TOJ: 800 ms,40.0,34,6.0,0.17647058823529413
1,4,interval betweeen display onset and TOJ: 800 ms,80.0,34,4.0,0.1176470588235294
2,0,interval betweeen display onset and TOJ: 50 ms,-80.0,34,33.0,0.9705882352941176
2,0,interval betweeen display onset and TOJ: 50 ms,-40.0,34,27.0,0.7941176470588235
2,0,interval betweeen display onset and TOJ: 50 ms,0.0,68,39.0,0.5735294117647058
2,0,interval betweeen display onset and TOJ: 50 ms,40.0,34,27.0,0.7941176470588235
2,1,interval betweeen display onset and TOJ: 100 ms,-80.0,34,34.0,1.0
2,1,interval betweeen display onset and TOJ: 100 ms,-40.0,34,31.0,0.9117647058823528
2,1,interval betweeen display onset and TOJ: 100 ms,0.0,68,50.0,0.7352941176470589
2,1,interval betweeen display onset and TOJ: 100 ms,40.0,34,13.0,0.38235294117647056
2,1,interval betweeen display onset and TOJ: 100 ms,80.0,34,9.0,0.2647058823529412
2,2,interval betweeen display onset and TOJ: 200 ms,-80.0,34,34.0,1.0
2,2,interval betweeen display onset and TOJ: 200 ms,-40.0,34,34.0,1.0
2,2,interval betweeen display onset and TOJ: 200 ms,0.0,68,62.0,0.9117647058823528
2,2,interval betweeen display onset and TOJ: 200 ms,40.0,34,12.0,0.35294117647058826
2,2,interval betweeen display onset and TOJ: 200 ms,80.0,34,7.0,0.2058823529411765
2,3,interval betweeen display onset and TOJ: 400 ms,-80.0,34,34.0,1.0
2,3,interval betweeen display onset and TOJ: 400 ms,-40.0,34,34.0,1.0
2,3,interval betweeen display onset and TOJ: 400 ms,0.0,68,63.0,0.9264705882352942
2,3,interval betweeen display onset and TOJ: 400 ms,40.0,34,16.0,0.4705882352941176
2,3,interval betweeen display onset and TOJ: 400 ms,80.0,34,8.0,0.2352941176470588
2,4,interval betweeen display onset and TOJ: 800 ms,-80.0,34,34.0,1.0
2,4,interval betweeen display onset and TOJ: 800 ms,-40.0,34,33.0,0.9705882352941176
2,4,interval betweeen display onset and TOJ: 800 ms,0.0,68,44.0,0.6470588235294118
2,4,interval betweeen display onset and TOJ: 800 ms,40.0,34,15.0,0.4411764705882353
2,4,interval betweeen display onset and TOJ: 800 ms,80.0,34,2.0,0.05882352941176471
3,0,interval betweeen display onset and TOJ: 50 ms,-80.0,34,33.0,0.9705882352941176
3,0,interval betweeen display onset and TOJ: 50 ms,-40.0,34,33.0,0.9705882352941176
3,0,interval betweeen display onset and TOJ: 50 ms,0.0,68,42.0,0.6176470588235294
3,0,interval betweeen display onset and TOJ: 50 ms,40.0,34,18.0,0.5294117647058824
3,1,interval betweeen display onset and TOJ: 100 ms,-80.0,34,33.0,0.9705882352941176
3,1,interval betweeen display onset and TOJ: 100 ms,-40.0,34,33.0,0.9705882352941176
3,1,interval betweeen display onset and TOJ: 100 ms,0.0,68,50.0,0.7352941176470589
3,1,interval betweeen display onset and TOJ: 100 ms,40.0,34,17.0,0.5
3,1,interval betweeen display onset and TOJ: 100 ms,80.0,34,8.0,0.2352941176470588
3,2,interval betweeen display onset and TOJ: 200 ms,-80.0,34,33.0,0.9705882352941176
3,2,interval betweeen display onset and TOJ: 200 ms,-40.0,34,31.0,0.9117647058823528
3,2,interval betweeen display onset and TOJ: 200 ms,0.0,68,51.0,0.75
3,2,interval betweeen display onset and TOJ: 200 ms,40.0,34,7.0,0.2058823529411765
3,2,interval betweeen display onset and TOJ: 200 ms,80.0,34,2.0,0.05882352941176471
3,3,interval betweeen display onset and TOJ: 400 ms,-80.0,34,32.0,0.9411764705882352
3,3,interval betweeen display onset and TOJ: 400 ms,-40.0,34,29.0,0.8529411764705882
3,3,interval betweeen display onset and TOJ: 400 ms,0.0,68,22.0,0.3235294117647059
3,3,interval betweeen display onset and TOJ: 400 ms,40.0,34,5.0,0.14705882352941174
3,3,interval betweeen display onset and TOJ: 400 ms,80.0,34,2.0,0.05882352941176471
3,4,interval betweeen display onset and TOJ: 800 ms,-80.0,34,34.0,1.0
3,4,interval betweeen display onset and TOJ: 800 ms,-40.0,34,32.0,0.9411764705882352
3,4,interval betweeen display onset and TOJ: 800 ms,0.0,68,33.0,0.4852941176470588
3,4,interval betweeen display onset and TOJ: 800 ms,40.0,34,7.0,0.2058823529411765
3,4,interval betweeen display onset and TOJ: 800 ms,80.0,34,1.0,0.029411764705882356
4,0,interval betweeen display onset and TOJ: 50 ms,-80.0,34,32.0,0.9411764705882352
4,0,interval betweeen display onset and TOJ: 50 ms,-40.0,34,26.0,0.7647058823529411
4,0,interval betweeen display onset and TOJ: 50 ms,0.0,68,47.0,0.6911764705882353
4,0,interval betweeen display onset and TOJ: 50 ms,40.0,34,24.0,0.7058823529411765
4,1,interval betweeen display onset and TOJ: 100 ms,-80.0,34,34.0,1.0
4,1,interval betweeen display onset and TOJ: 100 ms,-40.0,34,31.0,0.9117647058823528
4,1,interval betweeen display onset and TOJ: 100 ms,0.0,68,55.0,0.8088235294117647
4,1,interval betweeen display onset and TOJ: 100 ms,40.0,34,14.0,0.4117647058823529
4,1,interval betweeen display onset and TOJ: 100 ms,80.0,34,16.0,0.4705882352941176
4,2,interval betweeen display onset and TOJ: 200 ms,-80.0,34,33.0,0.9705882352941176
4,2,interval betweeen display onset and TOJ: 200 ms,-40.0,34,32.0,0.9411764705882352
