,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
"C[0,0]",0.07,0.008,0.055,0.085,0.0,0.0,25671.0,24617.0,26066.0,14345.0,1.0
"C[0,1]",0.064,0.008,0.049,0.079,0.0,0.0,25192.0,24179.0,25661.0,15413.0,1.0
"C[1,0]",0.035,0.005,0.026,0.043,0.0,0.0,25344.0,25065.0,25174.0,14143.0,1.0
"C[1,1]",0.034,0.004,0.026,0.043,0.0,0.0,25732.0,25732.0,25505.0,14522.0,1.0
"C[2,0]",0.051,0.006,0.039,0.062,0.0,0.0,25308.0,24740.0,25313.0,14091.0,1.0
"C[2,1]",0.061,0.01,0.044,0.08,0.0,0.0,20099.0,18925.0,20950.0,14429.0,1.0
"C[3,0]",0.049,0.006,0.038,0.061,0.0,0.0,24705.0,24078.0,24602.0,15238.0,1.0
"C[3,1]",0.044,0.005,0.034,0.054,0.0,0.0,22471.0,22343.0,22325.0,14478.0,1.0
"C[4,0]",0.044,0.005,0.034,0.054,0.0,0.0,26036.0,25218.0,26177.0,14174.0,1.0
"C[4,1]",0.029,0.006,0.018,0.04,0.0,0.0,24665.0,23543.0,24765.0,15339.0,1.0
"C[5,0]",0.018,0.003,0.012,0.024,0.0,0.0,28219.0,27833.0,27800.0,13610.0,1.0
"C[5,1]",0.021,0.004,0.014,0.027,0.0,0.0,24366.0,24366.0,23930.0,13598.0,1.0
"C[6,0]",0.022,0.003,0.015,0.028,0.0,0.0,26734.0,26541.0,26377.0,13204.0,1.0
"C[6,1]",0.041,0.006,0.031,0.052,0.0,0.0,23767.0,22872.0,23844.0,15040.0,1.0
"C[7,0]",0.046,0.006,0.035,0.056,0.0,0.0,26826.0,26178.0,26870.0,14694.0,1.0
"C[7,1]",0.028,0.005,0.019,0.036,0.0,0.0,27111.0,26325.0,27035.0,15790.0,1.0
"C[8,0]",0.013,0.003,0.008,0.018,0.0,0.0,25920.0,25920.0,25033.0,12031.0,1.0
"C[8,1]",0.018,0.003,0.012,0.024,0.0,0.0,23485.0,23485.0,22882.0,13203.0,1.0
"C[9,0]",0.057,0.007,0.044,0.069,0.0,0.0,22311.0,22037.0,22253.0,14100.0,1.0
"C[9,1]",0.065,0.01,0.046,0.083,0.0,0.0,22254.0,20634.0,23417.0,15530.0,1.0
"C[10,0]",0.064,0.008,0.049,0.079,0.0,0.0,25250.0,24409.0,25534.0,15035.0,1.0
"C[10,1]",0.068,0.008,0.053,0.083,0.0,0.0,23665.0,23107.0,23760.0,14544.0,1.0
"C[11,0]",0.045,0.005,0.035,0.056,0.0,0.0,27946.0,27012.0,27915.0,14379.0,1.0
"C[11,1]",0.065,0.008,0.05,0.08,0.0,0.0,24039.0,22947.0,24623.0,15076.0,1.0
"C[12,0]",0.069,0.008,0.053,0.083,0.0,0.0,25173.0,24232.0,25425.0,14685.0,1.0
"C[12,1]",0.062,0.01,0.044,0.08,0.0,0.0,21857.0,20870.0,22473.0,15720.0,1.0
"C[13,0]",0.031,0.004,0.023,0.039,0.0,0.0,29053.0,28570.0,28888.0,14321.0,1.0
"C[13,1]",0.02,0.003,0.014,0.026,0.0,0.0,26055.0,25910.0,25730.0,13621.0,1.0
"C[14,0]",0.106,0.013,0.081,0.131,0.0,0.0,24758.0,23320.0,25806.0,14038.0,1.0
"C[14,1]",0.164,0.033,0.105,0.229,0.0,0.0,11800.0,10233.0,11623.0,7009.0,1.0
"C[15,0]",0.011,0.003,0.006,0.016,0.0,0.0,21297.0,21297.0,20347.0,10587.0,1.0
"C[15,1]",0.007,0.002,0.003,0.011,0.0,0.0,21058.0,21058.0,19155.0,8212.0,1.0
"C[16,0]",0.014,0.003,0.008,0.019,0.0,0.0,26544.0,26544.0,25623.0,12045.0,1.0
"C[16,1]",0.02,0.003,0.013,0.026,0.0,0.0,26400.0,26400.0,25772.0,12717.0,1.0
"C[17,0]",0.009,0.003,0.005,0.014,0.0,0.0,16766.0,16766.0,15935.0,9505.0,1.0
"C[17,1]",0.009,0.002,0.004,0.014,0.0,0.0,21215.0,21215.0,20176.0,10784.0,1.0
"wp[0,0]",0.519,0.03,0.462,0.577,0.0,0.0,28242.0,28152.0,28236.0,14394.0,1.0
"wp[0,1]",0.613,0.029,0.558,0.667,0.0,0.0,27646.0,27604.0,27616.0,15217.0,1.0
"wp[1,0]",0.496,0.027,0.445,0.547,0.0,0.0,27839.0,27839.0,27871.0,14739.0,1.0
"wp[1,1]",0.547,0.027,0.497,0.597,0.0,0.0,25936.0,25725.0,25942.0,14678.0,1.0
"wp[2,0]",0.545,0.029,0.49,0.598,0.0,0.0,28178.0,28163.0,28181.0,15144.0,1.0
"wp[2,1]",0.768,0.026,0.719,0.816,0.0,0.0,19578.0,19454.0,19475.0,14433.0,1.0
"wp[3,0]",0.451,0.028,0.397,0.504,0.0,0.0,24775.0,24679.0,24739.0,14258.0,1.0
"wp[3,1]",0.561,0.028,0.507,0.611,0.0,0.0,25920.0,25784.0,25912.0,14776.0,1.0
"wp[4,0]",0.532,0.028,0.481,0.586,0.0,0.0,24723.0,24657.0,24707.0,15407.0,1.0
"wp[4,1]",0.84,0.02,0.803,0.876,0.0,0.0,25027.0,25020.0,24975.0,15760.0,1.0
"wp[5,0]",0.513,0.026,0.464,0.562,0.0,0.0,26060.0,25890.0,26086.0,13689.0,1.0
"wp[5,1]",0.668,0.025,0.62,0.714,0.0,0.0,24113.0,24111.0,24101.0,14059.0,1.0
"wp[6,0]",0.551,0.026,0.503,0.603,0.0,0.0,32028.0,31769.0,32001.0,14403.0,1.0
"wp[6,1]",0.632,0.027,0.58,0.683,0.0,0.0,24470.0,24308.0,24414.0,14220.0,1.0
"wp[7,0]",0.549,0.028,0.496,0.6,0.0,0.0,26620.0,26613.0,26638.0,15317.0,1.0
"wp[7,1]",0.728,0.024,0.683,0.771,0.0,0.0,27688.0,27608.0,27585.0,15819.0,1.0
"wp[8,0]",0.498,0.026,0.45,0.548,0.0,0.0,24641.0,24477.0,24632.0,14260.0,1.0
